画像	始点X	始点Y	終点X	終点Y	o有無	o地味派手	o丈	oR	oG	oB	o目詰	o目粗	o薄	o厚	o軽	o重	o柔	o堅	oツル	oザラ	o模様	i地味派手	i丈	iR	iG	iB	i目詰	i目粗	i薄	i厚	i軽	i重	i柔	i堅	iツル	iザラ	i模様	b地味派手	b丈	bR	bG	bB	b目詰	b目粗	b薄	b厚	b軽	b重	b柔	b堅	bツル	bザラ	b模様	
000000024.jpg	358	0	519	403	1	0	1	201	166	125	0	0	0	1	0	1	0	0	0	0	0	0	1	201	166	125	0	0	1	0	0	0	0	0	0	0	2	0	0.7	11	12	15	0	0	0	0	0	0	1	0	0	0	0
000000025.jpg	126	23	309	564	1	0	0.3	249	248	253	0	0	1	0	1	0	0	0	0	0	0	0	0.7	249	248	253	0	0	1	0	0	0	0	0	1	0	0	0	1	12	19	28	1	0	0	0	0	0	0	1	0	0	0
000000026.jpg	0	0	0	0	1	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0
000000027.jpg	131	5	367	631	0	0	1	255	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0.5	255	255	255	0	0	1	0	0	0	0	0	0	1	4	0	1	31	33	39	0	0	0	0	0	0	0	1	0	0	0
000000028.jpg	229	13	559	564	1	0	1	29	27	31	1	0	0	0	0	0	1	0	0	0	0	0	0.7	29	27	31	0	0	1	0	0	0	0	0	0	0	0	0	1	246	232	214	0	0	1	0	0	0	0	0	0	0	0
000000029.jpg	274	6	600	400	1	0	1	13	14	17	0	0	0	0	0	0	0	1	1	0	0	0	1	13	14	17	0	0	1	0	0	0	0	0	1	0	0	0	1	91	135	165	0	0	0	0	0	0	0	0	0	1	0
000000030.jpg	118	0	275	465	0	0	1	121	148	174	0	0	0	0	0	0	0	1	0	1	0	0	1	121	148	174	0	0	0	0	0	0	0	1	0	1	0	0	1	206	193	194	0	0	1	0	0	0	1	0	0	0	0
000000031.jpg	84	19	150	259	1	0	1	72	82	67	1	0	0	1	1	0	1	0	1	0	0	0	1	72	82	67	1	0	1	0	1	0	1	0	1	0	0	0	1	39	69	114	0	1	1	0	0	1	0	1	0	1	0
000000032.jpg	224	21	700	869	1	0	1	48	49	78	1	0	1	0	1	0	1	0	1	0	0	0	1	48	49	78	1	0	1	0	1	0	1	0	1	0	0	0	1	96	61	50	1	0	1	0	1	1	0	1	1	0	0
000000033.jpg	72	5	163	263	1	0	1	21	23	29	1	0	1	0	0	1	0	1	1	0	0	0	1	21	23	29	1	0	1	0	1	0	1	0	1	0	0	0	1	112	96	79	1	0	1	0	0	1	0	1	1	0	0
000000034.jpg	104	11	300	698	1	0	1	37	36	44	1	0	1	0	0	1	0	1	1	0	0	0	1	37	36	44	0	1	1	0	1	0	1	0	0	1	6	0	1	32	34	41	1	0	1	0	0	1	0	1	1	0	0
000000035.jpg	109	18	270	581	1	0	0	26	24	26	1	0	1	0	1	0	1	0	1	0	0	0	0.3	26	24	26	1	0	1	0	1	0	1	0	1	0	0	0	1	120	116	106	1	0	1	0	0	1	0	1	1	0	0
000000036.jpg	97	2	409	569	1	0	1	35	33	35	1	0	0	1	0	1	1	0	1	0	0	0	1	35	33	35	1	0	1	0	1	0	1	0	1	0	0	0	1	15	16	19	1	0	1	0	0	1	0	1	1	0	0
000000037.jpg	355	8	554	400	1	0	1	27	27	32	1	0	0	1	0	1	1	0	1	0	0	0	1	27	27	32	1	0	1	0	1	0	1	0	1	0	0	0	1	160	164	174	0	1	1	0	1	0	1	0	1	0	6
000000038.jpg	140	7	262	575	1	0	1	179	178	151	1	0	1	0	1	0	1	0	1	0	0	0	1	179	178	151	1	0	1	0	1	0	1	0	1	0	0	0	1	34	34	41	1	0	1	0	0	1	0	1	1	0	0
000000039.jpg	161	33	349	622	0	0	1	28	49	84	1	0	1	0	0	1	1	0	1	0	0	0	1	28	49	84	1	0	1	0	0	1	1	0	1	0	0	0	1	240	239	236	1	0	1	0	1	0	1	0	1	0	0
000000041.jpg	45	8	198	338	1	0	1	198	207	215	1	0	1	0	1	0	1	0	1	0	0	0	1	198	207	215	1	0	1	0	1	0	1	0	1	0	0	0	1	245	231	221	1	0	1	0	1	0	1	0	1	0	0
000000042.jpg	164	3	464	863	1	0	1	84	55	57	0	1	0	1	0	1	0	1	1	0	6	0	1	84	55	57	0	1	0	1	0	1	0	1	1	0	6	0	1	18	19	20	1	0	1	0	0	1	0	1	1	0	0
000000043.jpg	58	34	198	552	1	0	1	187	188	193	1	0	1	0	1	0	1	0	1	0	0	0	1	187	188	193	1	0	1	0	1	0	1	0	1	0	0	0	1	32	31	36	1	0	1	0	0	1	0	1	1	0	0
000000044.jpg	203	16	369	655	1	0	1	134	186	199	1	0	1	0	1	0	1	0	1	0	0	0	1	134	186	199	1	0	1	0	1	0	1	0	1	0	0	0	1	81	80	92	1	0	1	0	0	1	0	1	1	0	0
000000045.jpg	134	4	401	586	1	0	1	245	247	250	1	0	1	0	1	0	1	0	1	0	3	0	1	245	247	250	1	0	1	0	1	0	1	0	1	0	0	0	1	72	71	70	1	0	1	0	0	1	0	1	1	0	0
000000046.png	411	6	520	328	1	0	1	129	139	155	1	0	1	0	1	0	1	0	1	0	2	0	1	129	139	155	1	0	1	0	1	0	1	0	1	0	0	0	1	192	189	184	1	0	1	0	1	0	1	0	1	0	0
000000047.jpg	481	20	710	771	1	0	1	64	99	147	1	0	1	0	1	0	1	0	1	0	4	0	1	64	99	147	1	0	1	0	1	0	1	0	1	0	0	0	1	41	40	54	1	0	1	0	0	1	0	1	1	0	0
000000048.jpg	179	62	350	615	1	0	1	27	35	39	1	0	1	0	0	1	0	1	1	0	0	0	1	27	35	39	1	0	1	0	0	1	0	1	1	0	0	0	1	37	38	47	1	0	1	0	0	1	0	1	1	0	0
000000049.jpg	33	2	124	307	1	0	1	88	106	159	1	0	1	0	1	0	1	0	1	0	0	0	1	88	106	159	1	0	1	0	1	0	1	0	1	0	3	0	1	254	252	253	1	0	1	0	1	0	1	0	1	0	0
000000050.jpg	120	28	277	562	1	0	1	48	54	95	1	0	1	0	0	1	0	1	1	0	0	0	1	48	54	95	1	0	1	0	1	0	1	0	1	0	0	0	1	47	53	77	1	0	1	0	0	1	0	1	1	0	0
